,accuracy,precision,recall,f1
0,0.3446580241394725,0.11880967382617254,0.3446580241394725,0.17670576659096182
1,0.3448815377738042,0.20250099694305365,0.3448815377738042,0.17742135628691164
2,0.3442617954240663,0.16982168254332441,0.3442617954240663,0.17865185262487315
3,0.35621977486081197,0.2525771396589612,0.35621977486081197,0.19639497640931744
4,0.36761897021172835,0.36901629512627226,0.36761897021172835,0.22795326711794417
5,0.38066403868817816,0.3885532442069979,0.38066403868817816,0.2608603540486654
6,0.3895029869549315,0.39977106015039066,0.3895029869549315,0.28066434990346134
7,0.38440281220790834,0.3390950062692608,0.38440281220790834,0.29502006218178944
8,0.387968870646564,0.3662907759099261,0.387968870646564,0.2995479912669212
9,0.38854797415369613,0.3968003115416981,0.38854797415369613,0.28127077018166047
10,0.3889238834477994,0.39696245196427765,0.3889238834477994,0.2831881158758697
11,0.39020400698988095,0.37749063232402325,0.39020400698988095,0.301243676641336
12,0.38508351282155484,0.3596368535330578,0.38508351282155484,0.3048830237898108
13,0.39605600032511074,0.37158229189947056,0.39605600032511074,0.32629664245876927
14,0.440006908603243,0.39423446945745466,0.440006908603243,0.38318802193428697
15,0.44495468769049457,0.4002582731477873,0.44495468769049457,0.3879527304642475
16,0.4579591173243386,0.3967725768681726,0.4579591173243386,0.4039652067666629
17,0.45910716462795137,0.3973508363955008,0.45910716462795137,0.4042112898237967
18,0.468667452350957,0.40436300509850637,0.468667452350957,0.4181748459726482
19,0.47906083634738084,0.4110619478882866,0.47906083634738084,0.4314963184941064
20,0.4721319136830983,0.4120903772182157,0.4721319136830983,0.4211924787776902
21,0.468504896980534,0.40779736503750397,0.468504896980534,0.4193060859647053
22,0.5026212053480716,0.43215894887305867,0.5026212053480716,0.4533433217282515
23,0.5071422765879627,0.433888372041276,0.5071422765879627,0.4573588541693694
24,0.5071625960092656,0.43395555758381893,0.5071625960092656,0.45732608937764474
25,0.503505100174747,0.4295008238880897,0.503505100174747,0.45388353196577447
26,0.5074877067501118,0.43011300849322054,0.5074877067501118,0.45801589178598534
27,0.5060551875482586,0.42641874003896285,0.5060551875482586,0.45642131653957263
28,0.5092554964034625,0.43014894793963926,0.5092554964034625,0.46021894557555243
29,0.514203275490714,0.4382076639217304,0.514203275490714,0.4653914327544257
30,0.5174035843459178,0.4415283388326865,0.5174035843459178,0.468241304530016
31,0.5223107245905637,0.44736417934009043,0.5223107245905637,0.47213324093367837
32,0.5197403177957491,0.4463000018606493,0.5197403177957491,0.4698330788863186
33,0.5202381436176697,0.4459840059509068,0.5202381436176697,0.470439065452606
34,0.5204616572520014,0.44715587640575155,0.5204616572520014,0.47072672291020157
35,0.5201873450644126,0.4553189279190747,0.5201873450644126,0.4770023570733009
36,0.5159812248547161,0.44891607452884497,0.5159812248547161,0.47218706423846135
37,0.5204311781200471,0.45623758376922563,0.5204311781200471,0.47725247776198604
38,0.5197098386637948,0.4558796910318464,0.5197098386637948,0.4772048221358257
39,0.5169667167879058,0.45323843289000065,0.5169667167879058,0.4752860743919704
40,0.519943512008778,0.4575314906869053,0.519943512008778,0.47765335881184157
41,0.5199333522981265,0.45803539440070706,0.5199333522981265,0.4781499583121765
42,0.5191713739992685,0.45812961126861823,0.5191713739992685,0.47760415111148524
43,0.5200654285365953,0.45749710885324923,0.5200654285365953,0.4778248382714796
44,0.5183585971471533,0.4555174808309033,0.5183585971471533,0.4763081902099211
45,0.5166111269151055,0.4539120216959024,0.5166111269151055,0.47375935741640535
46,0.5176880562441581,0.4578908285168909,0.5176880562441581,0.47374500152350385
47,0.5211321981549966,0.4621353635773336,0.5211321981549966,0.4766775903758436
48,0.5186329093347422,0.4568508853703722,0.5186329093347422,0.47369108748453065
49,0.5215893851343114,0.4547586189833401,0.5215893851343114,0.47609697027028
50,0.5225443979355467,0.4553863565412627,0.5225443979355467,0.4764144218919915
51,0.5221583289307921,0.4542756763638611,0.5221583289307921,0.4761090843647176
52,0.5167635225748771,0.5014474967581971,0.5167635225748771,0.4985222557881887
53,0.5125269232332264,0.5004922172999229,0.5125269232332264,0.4962267424900425
54,0.5106778558946641,0.49983685478488216,0.5106778558946641,0.4949161308389745
55,0.5057605559393669,0.49686858609226575,0.5057605559393669,0.4909567771034742
56,0.5073657902222944,0.5002954639817966,0.5073657902222944,0.4929353686889103
57,0.5099463567277603,0.5032048989579484,0.5099463567277603,0.49652814285967767
58,0.5140508798309424,0.5067665248959691,0.5140508798309424,0.5025986633531326
59,0.5145283862315602,0.5069622714387367,0.5145283862315602,0.5029347418356642
60,0.51565611411387,0.5082854912435997,0.51565611411387,0.5039565887284209
61,0.5176169382695981,0.5104969989319653,0.5176169382695981,0.5059656028162952
62,0.516529849229894,0.5076280095333212,0.516529849229894,0.5041328269889972
63,0.5268013166985004,0.5177634921211417,0.5268013166985004,0.5147118297509344
64,0.5309464786442882,0.5219403595065186,0.5309464786442882,0.5188195857292643
65,0.5290262933311659,0.5228494683866016,0.5290262933311659,0.5179655594850825
66,0.5333441703580282,0.5256344091142433,0.5333441703580282,0.5215766789717611
67,0.534746210427927,0.5279587223613132,0.534746210427927,0.5228125540137175
68,0.5349392449303044,0.5279618908788155,0.5349392449303044,0.5232300305668413
69,0.5388202543991547,0.5324266054475941,0.5388202543991547,0.5276171927420026
70,0.5414414597472264,0.5353452354958488,0.5414414597472264,0.5304508463422088
71,0.5419697647011014,0.534345703386669,0.5419697647011014,0.5303815973307657
72,0.544082984516601,0.5370300545903214,0.544082984516601,0.5323387645739067
73,0.5440525053846467,0.5370185389784999,0.5440525053846467,0.5322218772987707
74,0.542701263868005,0.5371049389225212,0.542701263868005,0.5314148009009172
75,0.5426809444467021,0.5377821698212794,0.5426809444467021,0.5311611897314468
76,0.543138131426017,0.53859916960658,0.543138131426017,0.5315940013750946
77,0.5423456739952046,0.5382421766054702,0.5423456739952046,0.5310907566317534
78,0.5442150607550696,0.5404164442900132,0.5442150607550696,0.5331923340313549
79,0.5425488682082334,0.5377719563756329,0.5425488682082334,0.5310613099028249
